subroot,occ,subid_long,subid_short,subnumber,Male,Age_scan,R1_num_cor,R1_num_sem,R1_num_per,R1_num_dis,R1_num_resp,R1_num_omi,R1_tot_num_q,R1_percent_acc,R1_num_err_incomi,R1_percent_err_incomi,R1_num_err_excomi,R1_percent_err_excomi,R1_percent_err_sem_incomi,R1_percent_err_per_incomi,R1_percent_err_dis_incomi,R1_percent_err_discorr_incomi,R1_percent_err_omi_incomi,R1_percent_err_sem_excomi,R1_percent_err_per_excomi,R1_percent_err_dis_excomi,R1_percent_err_discorr_excomi,R1_percent_resp_cor,R1_percent_resp_sem,R1_percent_resp_per,R1_percent_resp_dis,R1_percent_resp_discorr,R1_meanRT_cor,R1_meanRT_sem,R1_meanRT_per,R1_meanRT_dis,R1_meanRTcorr_cor,R1_meanRTcorr_sem,R1_meanRTcorr_per,R1_meanRTcorr_dis,R2_num_cor,R2_num_sem,R2_num_per,R2_num_dis,R2_num_resp,R2_num_omi,R2_tot_num_q,R2_percent_acc,R2_num_err_incomi,R2_percent_err_incomi,R2_num_err_excomi,R2_percent_err_excomi,R2_percent_err_sem_incomi,R2_percent_err_per_incomi,R2_percent_err_dis_incomi,R2_percent_err_discorr_incomi,R2_percent_err_omi_incomi,R2_percent_err_sem_excomi,R2_percent_err_per_excomi,R2_percent_err_dis_excomi,R2_percent_err_discorr_excomi,R2_percent_resp_cor,R2_percent_resp_sem,R2_percent_resp_per,R2_percent_resp_dis,R2_percent_resp_discorr,R2_meanRT_cor,R2_meanRT_sem,R2_meanRT_per,R2_meanRT_dis,R2_meanRTcorr_cor,R2_meanRTcorr_sem,R2_meanRTcorr_per,R2_meanRTcorr_dis,R2_percent_sem,R2_percent_per,R2_percent_dis,R2_Correct_dividedby_Semantic,R2_Semantic_dividedby_per_dis
n001,1,nora_n001t1,n001_t1,1,0,12.17,38,,0,2,40,0,40,95,2,5,2,5,,0,100,50,0,,0,100,50,95,,0,5,3,3.15,,,3.35,3.05,,,3.35,31,5,3,1,40,0,40,78,9,23,9,23,56,33,11,,0,56,33,11,,78,13,8,3,,4.53,6.46,4.9,3.91,4.28,6.46,4.9,,12.5,7.5,2.5,6.2,1.25
n002,1,nora_n002t1,n002_t1,2,0,9.53,27,,3,0,30,0,30,90,3,10,3,10,,100,0,0,0,,100,0,0,90,,10,0,0,2.84,,2.65,,2.64,,2.65,,21,7,1,1,30,0,30,70,9,30,9,30,78,11,11,,0,78,11,11,,70,23,3,3,,3.68,3.55,5.66,1.92,3.68,3.55,,,23.33333,3.333333,3.333333,3,3.5
n004,1,nora_n004t1,n004_t1,4,0,15.17,39,,0,1,40,0,40,98,1,3,1,3,,0,100,50,0,,0,100,50,98,,0,3,1,3.5,,,3.07,3.22,,,,37,2,1,0,40,0,40,93,3,8,3,8,67,33,0,,0,67,33,0,,93,5,3,0,,4.56,5.69,3.04,,4.25,5.69,,,5,2.5,0,18.5,2
n005,1,nora_n005t1,n005_t1,5,0,18.02,38,,0,1,39,1,40,95,2,5,1,3,,0,50,25,50,,0,100,50,97,,0,3,1,3.72,,,4.94,3.54,,,,39,0,1,0,40,0,40,98,1,3,1,3,0,100,0,,0,0,100,0,,98,0,3,0,,5.19,,3.4,,5.08,,,,0,2.5,0,39,0
n009,1,nora_n009t1,n009_t1,9,0,15.55,38,,0,2,40,0,40,95,2,5,2,5,,0,100,50,0,,0,100,50,95,,0,5,3,2.92,,,3.77,2.72,,,3.77,36,3,1,0,40,0,40,90,4,10,4,10,75,25,0,,0,75,25,0,,90,8,3,0,,3.97,5.42,2.89,,3.84,5.42,,,7.5,2.5,0,12,3
n010,1,nora_n010t1,n010_t1,10,0,8.72,36,,0,4,40,0,40,90,4,10,4,10,,0,100,50,0,,0,100,50,90,,0,10,5,3.37,,,3.55,3.3,,,3.55,29,6,4,1,40,0,40,73,11,28,11,28,55,36,9,,0,55,36,9,,73,15,10,3,,4.18,4.07,3.92,4.55,4.01,4.07,3.92,,15,10,2.5,4.833333333,1.2
n011,1,nora_n011t1,n011_t1,11,0,10.04,37,,1,2,40,0,40,93,3,8,3,8,,33,67,33,0,,33,67,33,93,,3,5,3,4.1,,4.94,6.97,3.85,,,6.97,24,9,4,2,39,1,40,60,16,40,15,38,56,25,13,,6,60,27,13,,62,23,10,5,,5.21,5.37,4.37,7.15,5.04,5.37,4.37,7.15,22.5,10,5,2.666666667,1.5
n013,1,nora_n013t1,n013_t1,13,1,6.35,30,,2,1,33,7,40,75,10,25,3,9,,20,10,5,70,,67,33,17,91,,6,3,2,6.16,,5.28,7.69,6.16,,5.28,,14,4,3,4,25,15,40,35,26,65,11,44,15,12,15,,58,36,27,36,,56,16,12,16,,6.08,5.07,6.8,5.38,6.08,5.07,6.8,5.38,10,7.5,10,3.5,0.571428571
n015,1,nora_n015t1,n015_t1,15,1,9.11,36,,1,3,40,0,40,90,4,10,4,10,,25,75,38,0,,25,75,38,90,,3,8,4,3.87,,5.69,6.07,3.67,,,6.07,28,6,2,1,37,3,40,70,12,30,9,24,50,17,8,,25,67,22,11,,76,16,5,3,,5.01,6.51,5.24,5.34,4.91,6.51,5.24,,15,5,2.5,4.666666667,2
n016,1,nora_n016t1,n016_t1,16,1,13.31,30,,3,6,39,1,40,75,10,25,9,23,,30,60,30,10,,33,67,33,77,,8,15,8,4.93,,4.21,4.99,4.82,,4.21,4.99,34,5,0,1,40,0,40,85,6,15,6,15,83,0,17,,0,83,0,17,,85,13,0,3,,6.79,7.91,,6.03,6.79,7.91,,,12.5,0,2.5,6.8,5
n017,1,nora_n017t1,n017_t1,17,1,16.44,37,,2,1,40,0,40,93,3,8,3,8,,67,33,17,0,,67,33,17,93,,5,3,1,3.34,,3.85,5.02,3.17,,3.85,,34,3,1,1,39,1,40,85,6,15,5,13,50,17,17,,17,60,20,20,,87,8,3,3,,4.62,8.05,4.91,5.78,4.5,8.05,,,7.5,2.5,2.5,11.33333333,1.5
n018,1,nora_n018t1,n018_t1,18,1,6.74,23,,1,7,31,9,40,58,17,43,8,26,,6,41,21,53,,13,88,44,74,,3,23,11,6.09,,5.04,6.26,6.09,,,6.26,18,10,5,3,36,4,40,45,22,55,18,50,45,23,14,,18,56,28,17,,50,28,14,8,,5.62,6.4,4.22,7.11,5.37,6.4,4.22,7.11,25,12.5,7.5,1.8,1.25
n020,1,nora_n020t1,n020_t1,20,0,12.02,37,,0,3,40,0,40,93,3,8,3,8,,0,100,50,0,,0,100,50,93,,0,8,4,4.71,,,4.53,4.44,,,4.53,30,1,1,2,34,6,40,75,10,25,4,12,10,10,20,,60,25,25,50,,88,3,3,6,,6.37,5.31,5,2.39,6.37,,,2.39,2.5,2.5,5,30,0.333333333
n021,1,nora_n021t1,n021_t1,21,0,16.68,38,,0,2,40,0,40,95,2,5,2,5,,0,100,50,0,,0,100,50,95,,0,5,3,2.31,,,2.63,2.19,,,2.63,38,0,2,0,40,0,40,95,2,5,2,5,0,100,0,,0,0,100,0,,95,0,5,0,,2.8,,2.86,,2.72,,2.86,,0,5,0,38,0
n022,1,nora_n022t1,n022_t1,22,1,7.76,34,,1,0,35,5,40,85,6,15,1,3,,17,0,0,83,,100,0,0,97,,3,0,0,4.46,,5.82,,4.3,,,,30,2,2,2,36,4,40,75,10,25,6,17,20,20,20,,40,33,33,33,,83,6,6,6,,6.01,8.55,4.29,7.85,5.89,8.55,4.29,7.85,5,5,5,15,0.5
n025,1,nora_n025t1,n025_t1,25,0,9.39,37,,1,2,40,0,40,93,3,8,3,8,,33,67,33,0,,33,67,33,93,,3,5,3,3.98,,3.45,4.87,3.64,,,4.87,32,3,2,2,39,1,40,80,8,20,7,18,38,25,25,,13,43,29,29,,82,8,5,5,,5.2,8,5.88,6.95,5.12,8,5.88,6.95,7.5,5,5,10.66666667,0.75
n026,1,nora_n026t1,n026_t1,26,1,6.26,30,,1,2,33,7,40,75,10,25,3,9,,10,20,10,70,,33,67,33,91,,3,6,3,6.54,,9.9,8.21,6.43,,,8.21,12,11,3,0,26,14,40,30,28,70,14,54,39,11,0,,50,79,21,0,,46,42,12,0,,6.47,6.09,7.44,,6.47,6.09,7.44,,27.5,7.5,0,1.090909091,11
n027,1,nora_n027t1,n027_t1,27,0,9.13,35,,0,2,37,3,40,88,5,13,2,5,,0,40,20,60,,0,100,50,95,,0,5,3,4.93,,,3.08,4.82,,,3.08,25,3,1,2,31,9,40,63,15,38,6,19,20,7,13,,60,50,17,33,,81,10,3,6,,6.31,6.64,6.38,5.88,6.31,6.64,,5.88,7.5,2.5,5,8.333333333,1
n028,1,nora_n028t1,n028_t1,28,1,12.68,37,,1,2,40,0,40,93,3,8,3,8,,33,67,33,0,,33,67,33,93,,3,5,3,3.2,,2.59,4.25,3.08,,,4.25,36,1,2,1,40,0,40,90,4,10,4,10,25,50,25,,0,25,50,25,,90,3,5,3,,4.22,5.64,4.87,5.19,4.05,,4.87,,2.5,5,2.5,36,0.333333333
n029,1,nora_n029t1,n029_t1,29,1,14.68,38,,1,1,40,0,40,95,2,5,2,5,,50,50,25,0,,50,50,25,95,,3,3,1,3.32,,3.05,2.4,3.19,,,,34,4,2,0,40,0,40,85,6,15,6,15,67,33,0,,0,67,33,0,,85,10,5,0,,4.47,4.82,5.33,,4.26,4.82,5.33,,10,5,0,8.5,4
n030,1,nora_n030t1,n030_t1,30,0,7.61,30,,7,3,40,0,40,75,10,25,10,25,,70,30,15,0,,70,30,15,75,,18,8,4,4.74,,4.12,7.26,4.74,,4.12,7.26,31,4,4,1,40,0,40,78,9,23,9,23,44,44,11,,0,44,44,11,,78,10,10,3,,5.99,7.34,7.21,5.42,5.75,7.34,7.21,,10,10,2.5,7.75,0.8
n031,1,nora_n031t1,n031_t1,31,0,6.88,34,,2,2,38,2,40,85,6,15,4,11,,33,33,17,33,,50,50,25,89,,5,5,3,4.73,,6.12,6.01,4.47,,6.12,6.01,22,10,4,0,36,4,40,55,18,45,14,39,56,22,0,,22,71,29,0,,61,28,11,0,,5.43,5.7,4.79,,5.25,5.7,4.79,,25,10,0,2.2,10
n032,1,nora_n032t1,n032_t1,32,1,8.05,33,,3,4,40,0,40,83,7,18,7,18,,43,57,29,0,,43,57,29,83,,8,10,5,4.12,,3.96,5.57,3.82,,3.96,5.57,19,11,9,1,40,0,40,48,21,53,21,53,52,43,5,,0,52,43,5,,48,28,23,3,,4.73,4.64,5.22,6.18,4.52,4.22,5.22,,27.5,22.5,2.5,1.727272727,1.1
n033,1,nora_n033t1,n033_t1,33,0,9.89,34,,4,2,40,0,40,85,6,15,6,15,,67,33,17,0,,67,33,17,85,,10,5,3,2.65,,3.04,2.79,2.6,,3.04,2.79,30,7,0,1,38,2,40,75,10,25,8,21,70,0,10,,20,88,0,13,,79,18,0,3,,4.32,3.41,,3.28,4.05,3.41,,,17.5,0,2.5,4.285714286,7
n034,1,nora_n034t1,n034_t1,34,1,17.79,37,,3,0,40,0,40,93,3,8,3,8,,100,0,0,0,,100,0,0,93,,8,0,0,3.52,,4.97,,3.29,,4.97,,38,1,0,0,39,1,40,95,2,5,1,3,50,0,0,,50,100,0,0,,97,3,0,0,,5.19,8.75,,,4.96,,,,2.5,0,0,38,1
n035,1,nora_n035t1,n035_t1,35,1,8.19,35,,3,2,40,0,40,88,5,13,5,13,,60,40,20,0,,60,40,20,88,,8,5,3,3.76,,2.92,4.65,3.42,,2.92,4.65,23,11,3,3,40,0,40,58,17,43,17,43,65,18,18,,0,65,18,18,,58,28,8,8,,4.83,4.55,4.07,3.86,4.66,4.55,4.07,3.86,27.5,7.5,7.5,2.090909091,1.833333333
n036,1,nora_n036t1,n036_t1,36,0,14.05,36,,3,1,40,0,40,90,4,10,4,10,,75,25,13,0,,75,25,13,90,,8,3,1,2.6,,4.22,3.77,2.45,,4.22,,36,3,0,1,40,0,40,90,4,10,4,10,75,0,25,,0,75,0,25,,90,8,0,3,,3.43,5.71,,2.68,3.28,5.71,,,7.5,0,2.5,12,3
n037,1,nora_n037t1,n037_t1,37,1,16.15,39,,0,0,39,1,40,98,1,3,0,0,,0,0,0,100,,,,,100,,0,0,0,3.83,,,,3.71,,,,35,2,2,0,39,1,40,88,5,13,4,10,40,40,0,,20,,,,,90,5,5,0,,4.8,5.34,6.97,,4.8,5.34,6.97,,5,5,0,17.5,2
n040,1,nora_n040t1,n040_t1,40,1,6.4,14,,6,12,32,8,40,35,26,65,18,56,,23,46,23,31,,33,67,33,44,,19,38,19,5.8,,5.88,6.27,5.49,,5.88,6.27,6,7,4,4,21,19,40,15,34,85,15,71,21,12,12,,56,47,27,27,,29,33,19,19,,6.21,7.22,6.46,7.13,6.21,7.22,6.46,7.13,17.5,10,10,0.857142857,0.875
n041,1,nora_n041t1,n041_t1,41,1,13.63,39,,1,0,40,0,40,98,1,3,1,3,,100,0,0,0,,100,0,0,98,,3,0,0,2.36,,4.55,,2.3,,,,37,2,0,1,40,0,40,93,3,8,3,8,67,0,33,,0,67,0,33,,93,5,0,3,,3.32,3.53,,3.14,3.19,3.53,,,5,0,2.5,18.5,2
n042,1,nora_n042t1,n042_t1,42,1,17.77,40,,0,0,40,0,40,100,0,0,0,0,,,,,,,,,,100,,0,0,0,2.2,,,,2.14,,,,37,2,0,0,39,1,40,93,3,8,2,5,67,0,0,,33,100,0,0,,95,5,0,0,,3.4,7.32,,,3.17,7.32,,,5,0,0,18.5,2
n043,1,nora_n043t1,n043_t1,43,1,8.27,39,,0,0,39,1,40,98,1,3,0,0,,0,0,0,100,,,,,100,,0,0,0,4.22,,,,3.98,,,,32,6,0,2,40,0,40,80,8,20,8,20,75,0,25,,0,75,0,25,,80,15,0,5,,6.5,5.34,,9.14,6.63,5.34,,9.14,15,0,5,5.333333333,6
