Site_ID,Sub_ID,Session,Series,Unique_ID,SNR,EFC,Smoothness_of_Voxels,FBER,GSR,mFD,PercentFD_greater_than_0.20,NumFD_greater_than_0.20,DVARS,Outliers,GCORR,Median_Distance_Index,
ABIDEII-BNI_1,29006,session_1,rest_1,ABIDEII-BNI_1_29006_session_1_rest_1,13.68577667,0.442159731,2.008369378,30.59068029,0.027864594,0.277081147,1.6529,2,1.248626409,0.00440075,0.08672728,0.025726246,ABIDEII-BNI_1_29006_session_1_rest_1
ABIDEII-BNI_1,29007,session_1,rest_1,ABIDEII-BNI_1_29007_session_1_rest_1,14.82489995,0.410425838,2.186092186,30.96005911,0.020224772,0.08752346,0,0,1.286946801,0.002288333,0.029517458,0.028450464,ABIDEII-BNI_1_29007_session_1_rest_1
ABIDEII-BNI_1,29008,session_1,rest_1,ABIDEII-BNI_1_29008_session_1_rest_1,12.61965707,0.442345744,2.05561619,23.91716203,0.028294856,0.204967686,0,0,1.224414381,0.001927167,0.042228905,0.031682182,ABIDEII-BNI_1_29008_session_1_rest_1
ABIDEII-BNI_1,29009,session_1,rest_1,ABIDEII-BNI_1_29009_session_1_rest_1,11.19457169,0.380077428,1.951402264,15.30741357,0.015153741,0.156331851,21.4876,26,1.12336145,0.004177833,0.071626052,0.028266158,ABIDEII-BNI_1_29009_session_1_rest_1
ABIDEII-BNI_1,29010,session_1,rest_1,ABIDEII-BNI_1_29010_session_1_rest_1,10.6885425,0.37932479,1.928865677,13.99223069,0.013318383,0.163730749,25.6198,31,0.903128279,0.006830917,0.031093573,0.034052368,ABIDEII-BNI_1_29010_session_1_rest_1
ABIDEII-BNI_1,29011,session_1,rest_1,ABIDEII-BNI_1_29011_session_1_rest_1,9.741329245,0.396485171,1.914905259,13.69966608,0.02244187,0.153057376,18.1818,22,1.179116796,0.002615083,0.091078537,0.034510238,ABIDEII-BNI_1_29011_session_1_rest_1
ABIDEII-BNI_1,29012,session_1,rest_1,ABIDEII-BNI_1_29012_session_1_rest_1,10.59320475,0.365386808,1.978195618,12.51206223,0.001245012,0.562244038,86.7769,105,1.254440639,0.001984417,0.054274184,0.040442595,ABIDEII-BNI_1_29012_session_1_rest_1
ABIDEII-BNI_1,29013,session_1,rest_1,ABIDEII-BNI_1_29013_session_1_rest_1,11.7131901,0.382124133,1.999095791,20.36985311,0.015751015,0.076480948,2.4793,3,1.102092092,0.002991583,0.049819907,0.048291223,ABIDEII-BNI_1_29013_session_1_rest_1
ABIDEII-BNI_1,29014,session_1,rest_1,ABIDEII-BNI_1_29014_session_1_rest_1,10.40786759,0.383329889,1.8380277,13.84046958,0.02709342,0.152799809,22.314,27,1.045322484,0.002802833,0.057215982,0.03878247,ABIDEII-BNI_1_29014_session_1_rest_1
ABIDEII-BNI_1,29015,session_1,rest_1,ABIDEII-BNI_1_29015_session_1_rest_1,10.25755084,0.364791231,1.975932824,10.52259008,-0.001582226,0.057535376,0,0,1.065180325,0.003314667,0.040381129,0.032167623,ABIDEII-BNI_1_29015_session_1_rest_1
